"Warehouse","Warehouse"
"Manage Warehouse","Manage Warehouse"
"Add warehouse","Add warehouse"
"Name","Name"
"Email","Email"
"Location","Location"
"Code","Code"
"Warehouse edit","Warehouse edit"
"Edit Warehouse '%s'","Edit Warehouse '%s'"
"New Warehouse","New Warehouse"
"The warehouse does not exist.","The warehouse does not exist."
"Save Warehouse","Save Warehouse"
"Delete Warehouse","Delete Warehouse"
"Manage Products","Manage Products"
"Warehouse Information","Warehouse Information"
"Available in next warehouses: ","Available in next warehouses: "
"Error: ","Error: "
"Ship from: ","Ship from: "
"-- Please select warehouse --","-- Please select warehouse --"
"This product is no longer available in any warehouses!","This product is no longer available in any warehouses!"
"The shipment needs to be done only from one warehouse!","The shipment needs to be done only from one warehouse!"
