"Warehouse","Depozite"
"Manage Warehouse","Gestioneare depozite"
"Add warehouse","Adaugare depozit"
"Name","Nume"
"Email","Email"
"Location","Locatie"
"Code","Cod"
"Warehouse edit","Editare depozit"
"Edit Warehouse '%s'","Editare depozit '%s'"
"New Warehouse","Depozit nou"
"The warehouse does not exist.","Depozitul nu exista."
"Save Warehouse","Salveaza depozit"
"Delete Warehouse","Sterge depozit"
"Manage Products","Gestionare produse"
"Warehouse Information","Informatii depozit"
"Available in next warehouses: ","Disponibil in depozitele: "
